hour,lead_time_hours,variable,models_reporting,providers_reporting,model_spread,provider_spread
2026-08-07T14:00,110,swell_wave_direction,4,3,58.00,57.00
2026-08-07T15:00,111,swell_wave_height,4,3,0.96,0.95
2026-08-07T15:00,111,swell_wave_period,4,3,3.35,3.32
2026-08-07T15:00,111,swell_wave_direction,4,3,57.00,56.00
2026-08-07T16:00,112,swell_wave_height,4,3,1.02,1.01
2026-08-07T16:00,112,swell_wave_period,4,3,3.30,3.27
2026-08-07T16:00,112,swell_wave_direction,4,3,56.00,55.00
2026-08-07T17:00,113,swell_wave_height,4,3,0.98,0.97
2026-08-07T17:00,113,swell_wave_period,4,3,3.20,3.20
2026-08-07T17:00,113,swell_wave_direction,4,3,56.00,55.00
2026-08-07T18:00,114,swell_wave_height,4,3,0.94,0.93
2026-08-07T18:00,114,swell_wave_period,4,3,3.20,3.20
2026-08-07T18:00,114,swell_wave_direction,4,3,55.00,54.00
2026-08-07T19:00,115,swell_wave_height,4,3,0.90,0.89
2026-08-07T19:00,115,swell_wave_period,4,3,3.30,3.30
2026-08-07T19:00,115,swell_wave_direction,4,3,55.00,54.50
2026-08-07T20:00,116,swell_wave_height,4,3,0.88,0.88
2026-08-07T20:00,116,swell_wave_period,4,3,3.45,3.37
2026-08-07T20:00,116,swell_wave_direction,4,3,54.00,37.00
2026-08-07T21:00,117,swell_wave_height,4,3,0.88,0.88
2026-08-07T21:00,117,swell_wave_period,4,3,3.30,3.30
2026-08-07T21:00,117,swell_wave_direction,4,3,55.00,54.00
2026-08-07T22:00,118,swell_wave_height,4,3,0.86,0.86
2026-08-07T22:00,118,swell_wave_period,4,3,3.35,3.33
2026-08-07T22:00,118,swell_wave_direction,4,3,54.00,53.50
2026-08-07T23:00,119,swell_wave_height,4,3,0.86,0.86
2026-08-07T23:00,119,swell_wave_period,4,3,3.30,3.30
2026-08-07T23:00,119,swell_wave_direction,4,3,55.00,54.50
2026-08-08T00:00,120,swell_wave_height,4,3,0.84,0.84
2026-08-08T00:00,120,swell_wave_period,4,3,3.45,3.42
2026-08-08T00:00,120,swell_wave_direction,4,3,55.00,54.00
2026-08-08T01:00,121,swell_wave_height,4,3,0.84,0.84
2026-08-08T01:00,121,swell_wave_period,4,3,3.45,3.45
2026-08-08T01:00,121,swell_wave_direction,4,3,57.00,56.00
2026-08-08T02:00,122,swell_wave_height,4,3,0.82,0.82
2026-08-08T02:00,122,swell_wave_period,4,3,3.60,3.58
2026-08-08T02:00,122,swell_wave_direction,4,3,58.00,57.00
2026-08-08T03:00,123,swell_wave_height,4,3,0.82,0.82
2026-08-08T03:00,123,swell_wave_period,4,3,3.75,3.70
2026-08-08T03:00,123,swell_wave_direction,4,3,58.00,57.00
2026-08-08T04:00,124,swell_wave_height,4,3,0.80,0.80
2026-08-08T04:00,124,swell_wave_period,4,3,3.55,3.55
2026-08-08T04:00,124,swell_wave_direction,4,3,59.00,58.00
2026-08-08T05:00,125,swell_wave_height,4,3,0.68,0.62
2026-08-08T05:00,125,swell_wave_period,4,3,3.10,2.88
2026-08-08T05:00,125,swell_wave_direction,4,3,51.00,45.50
2026-08-08T06:00,126,swell_wave_height,4,3,0.52,0.41
2026-08-08T06:00,126,swell_wave_period,4,3,2.50,1.95
2026-08-08T06:00,126,swell_wave_direction,4,3,42.00,32.00
2026-08-08T07:00,127,swell_wave_height,4,3,0.40,0.23
2026-08-08T07:00,127,swell_wave_period,4,3,2.20,1.50
2026-08-08T07:00,127,swell_wave_direction,4,3,34.00,19.50
2026-08-08T08:00,128,swell_wave_height,4,3,0.48,0.37
2026-08-08T08:00,128,swell_wave_period,4,3,2.55,1.98
2026-08-08T08:00,128,swell_wave_direction,4,3,43.00,33.00
2026-08-08T09:00,129,swell_wave_height,4,3,0.56,0.51
2026-08-08T09:00,129,swell_wave_period,4,3,3.15,2.88
2026-08-08T09:00,129,swell_wave_direction,4,3,54.00,48.50
2026-08-08T10:00,130,swell_wave_height,4,3,0.66,0.65
2026-08-08T10:00,130,swell_wave_period,4,3,3.50,3.50
2026-08-08T10:00,130,swell_wave_direction,4,3,63.00,62.00
2026-08-08T11:00,131,swell_wave_height,4,3,0.62,0.56
2026-08-08T11:00,131,swell_wave_period,4,3,3.70,3.43
2026-08-08T11:00,131,swell_wave_direction,4,3,62.00,58.00
